distancia_km,tipo_envio,ventana_horas,volumen,fragil,frio,saturacion,prioridad
1339,normal,24,13,0,0,baja,baja
101,normal,4,16,0,0,baja,baja
1584,normal,48,6,0,0,alta,media
68,normal,4,16,0,0,media,baja
211,normal,4,6,0,0,baja,baja
402,normal,8,14,1,0,baja,baja
115,normal,4,33,0,0,alta,media
181,normal,4,28,0,0,baja,baja
74,normal,4,23,0,0,baja,baja
3016,normal,72,30,0,0,media,media
2342,normal,48,16,0,0,baja,baja
193,normal,4,5,0,0,baja,baja
337,normal,4,7,0,0,baja,baja
755,normal,24,13,1,0,media,baja
163,express,4,29,0,0,baja,media
481,express,8,20,0,0,baja,baja
82,normal,4,6,0,0,media,baja
1108,express,24,8,0,0,media,media
735,normal,24,32,0,0,baja,baja
267,normal,4,23,1,0,media,media
25,normal,4,36,1,0,baja,media
467,normal,8,16,0,0,baja,baja
474,normal,8,11,1,0,media,baja
62,normal,4,18,0,0,alta,media
291,normal,4,28,0,0,media,media
1601,normal,48,16,1,0,baja,baja
398,normal,8,9,0,0,baja,baja
3457,normal,72,20,1,0,baja,media
1218,normal,24,12,0,1,media,baja
591,normal,8,13,0,0,baja,baja
406,express,8,42,0,0,media,media
424,express,8,14,1,1,alta,alta
389,normal,8,10,1,0,alta,media
96,express,4,10,0,1,media,alta
115,normal,4,13,1,0,alta,media
1623,normal,48,35,1,0,baja,baja
126,normal,4,20,1,0,baja,baja
3359,normal,72,40,0,0,alta,alta
557,express,8,29,0,0,alta,alta
83,normal,4,16,0,1,baja,baja
381,express,4,21,0,0,alta,alta
1367,express,24,25,0,0,media,media
3750,express,72,9,0,0,baja,media
178,express,4,4,1,0,alta,alta
340,normal,8,26,0,0,media,baja
102,express,4,26,0,1,baja,alta
1213,normal,24,32,0,0,baja,baja
131,express,4,10,1,0,baja,media
311,normal,8,37,1,0,baja,baja
364,normal,4,10,1,0,media,media
378,normal,8,26,0,0,baja,baja
411,express,4,29,1,0,baja,alta
201,express,4,7,0,0,media,media
2465,normal,48,13,0,0,baja,baja
1065,express,24,14,0,0,baja,media
465,normal,8,10,0,0,media,baja
60,express,4,26,0,0,baja,media
247,express,4,18,1,0,baja,media
3277,normal,72,36,0,0,baja,media
382,express,4,3,0,0,media,media
201,normal,4,17,1,0,alta,media
269,express,4,20,0,1,media,alta
300,normal,8,26,1,0,baja,baja
645,express,8,14,1,0,media,media
390,normal,8,37,1,0,media,baja
57,normal,4,17,0,0,baja,baja
33,normal,4,4,0,0,baja,baja
205,normal,4,14,0,0,alta,media
1103,express,24,37,1,0,baja,media
3347,normal,72,24,1,0,media,media
167,express,4,12,0,0,alta,alta
277,normal,4,20,1,0,alta,media
1035,express,24,41,0,0,media,media
216,normal,4,4,1,0,media,media
126,normal,4,8,0,0,baja,baja
559,normal,8,21,1,0,baja,baja
1544,normal,48,8,0,1,baja,baja
321,normal,8,6,1,0,alta,media
255,normal,4,42,1,0,alta,alta
1260,normal,48,25,0,1,baja,baja
155,express,4,9,1,0,baja,media
306,normal,4,15,0,0,baja,baja
338,normal,4,27,0,0,baja,baja
468,normal,8,19,0,0,baja,baja
142,normal,4,23,0,0,baja,baja
2873,express,48,15,0,0,baja,media
1125,normal,24,34,1,0,baja,baja
561,express,8,15,1,0,media,media
1503,normal,48,7,0,1,baja,baja
446,express,8,29,0,0,media,media
1334,normal,48,38,0,1,media,media
2914,normal,72,23,0,0,alta,alta
1474,express,24,7,0,0,media,media
157,normal,4,24,1,0,baja,media
1361,express,24,7,1,0,baja,media
353,normal,8,22,0,0,baja,baja
1666,normal,48,15,0,0,baja,baja
675,normal,8,12,1,0,media,baja
294,normal,4,24,1,1,alta,alta
1563,normal,48,5,0,0,media,baja
213,express,4,15,0,0,alta,alta
1150,express,24,40,1,0,baja,media
45,normal,4,12,0,0,baja,baja
115,normal,4,37,0,1,baja,media
3108,normal,72,16,1,0,media,media
2555,normal,48,26,0,0,alta,alta
435,express,8,40,1,0,media,media
321,normal,8,22,0,0,baja,baja
95,normal,4,22,0,0,alta,media
1079,normal,24,30,0,0,media,baja
359,normal,8,6,0,0,baja,baja
174,normal,4,11,1,0,baja,baja
104,express,4,22,0,0,baja,media
165,normal,4,23,0,0,baja,baja
1633,normal,48,32,0,0,baja,baja
502,express,8,17,1,0,media,media
3190,normal,72,19,1,0,baja,media
157,normal,4,10,0,0,alta,media
600,normal,8,31,0,0,media,baja
1478,normal,48,25,0,0,baja,baja
104,express,4,9,0,0,baja,media
154,normal,4,8,0,0,baja,baja
529,normal,8,43,0,0,alta,media
3235,express,48,6,0,0,media,alta
460,normal,8,19,0,1,baja,baja
1254,express,24,24,0,1,baja,media
1255,normal,24,7,0,0,baja,baja
3008,express,48,19,1,0,baja,alta
43,express,4,18,0,0,media,media
182,normal,4,36,1,0,media,media
62,normal,4,14,0,0,alta,media
265,express,4,11,0,0,media,media
3234,normal,72,40,0,1,baja,media
1287,express,24,25,0,0,alta,alta
462,normal,8,22,0,0,baja,baja
650,normal,24,35,0,0,baja,baja
670,normal,8,21,0,0,alta,media
2612,normal,48,14,1,0,baja,media
51,normal,4,19,0,0,baja,baja
366,normal,8,14,0,0,baja,baja
